restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DARLING AMIRTHA,Idly (2 Nos),,30.87,,,,6,20,Veg,,,06:30AM,10:30AM,,,04:00PM,10:30PM,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,1
DARLING AMIRTHA,Medhu Vadai,,22.05,,,,6,0,Veg,,,06:30AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,2
DARLING AMIRTHA,Sambar Idly (2 Nos),,49.6125,,,,6,0,Veg,,,06:30AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,3
DARLING AMIRTHA,Ven Pongal,,60.6375,,,,6,0,Veg,,,06:30AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,4
DARLING AMIRTHA,Poori Masala,,60.6375,,,,6,0,Veg,,,06:30AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,5
DARLING AMIRTHA,Idiyappam,,55.125,,,,6,0,Veg,,,06:30AM,10:30AM,,,04:00PM,10:30PM,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,6
DARLING AMIRTHA,Plain Dosai,,60.6375,,,,6,0,Veg,,,06:30AM,10:30PM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,7
DARLING AMIRTHA,Ragi Dosai,,60.6375,,,,6,0,Veg,,,06:30AM,10:30PM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,8
DARLING AMIRTHA,Whea Dosai,,60.6375,,,,6,0,Veg,,,06:30AM,10:30PM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,9
DARLING AMIRTHA,Podi Dosai,,71.6625,,,,6,0,Veg,,,06:30AM,10:30PM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,10
DARLING AMIRTHA,Kal Dosai,,71.6625,,,,6,0,Veg,,,06:30AM,10:30PM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,11
DARLING AMIRTHA,Masala Dosai,,71.6625,,,,6,0,Veg,,,06:30AM,10:30PM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,12
DARLING AMIRTHA,Plain Uthappam,,60.6375,,,,6,0,Veg,,,06:30AM,10:30PM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,13
DARLING AMIRTHA,Onion Uthappam,,77.175,,,,6,0,Veg,,,06:30AM,10:30PM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,14
DARLING AMIRTHA,Veg Uthappam,,77.175,,,,6,0,Veg,,,06:30AM,10:30PM,,,,,"1,2,3,4,5,6,7",1,,South Indian,,0,,3,15
