restaurant_name,food_item,description,price,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
DARLING BAKERY RANIPET,Arabian Dates Cake (100 Gms),,118,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Darlings Specials,,0,
DARLING BAKERY RANIPET,Jolly Jelly (100 Gms),,24,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Darlings Specials,,0,
DARLING BAKERY RANIPET,Vanilla Drops (100 Gms),,24,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Darlings Specials,,0,
DARLING BAKERY RANIPET,Mixed Drops (100 Gms),,24,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Darlings Specials,,0,
DARLING BAKERY RANIPET,Marizpons (100 Gms),,47,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Darlings Specials,,0,
DARLING BAKERY RANIPET,Marshmallow Jelly (100 Gms),,24,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Darlings Specials,,0,
DARLING BAKERY RANIPET,Homemade Chocolate (1Kg),,550,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Darlings Specials,,0,
DARLING BAKERY RANIPET,Milk Bread,,30,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,
DARLING BAKERY RANIPET,Sandwich Bread,,28,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,
DARLING BAKERY RANIPET,Wheat Bread,,28,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,
DARLING BAKERY RANIPET,Fruit Bread,,26,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,
DARLING BAKERY RANIPET,Bread Halwa (1 Pc),,13,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,
DARLING BAKERY RANIPET,Kitties Bun (1 Packet),,24,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Buns,,0,
DARLING BAKERY RANIPET,Bun Butter Jam (1 Pc),,13,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Buns,,0,
DARLING BAKERY RANIPET,Fruit Bun (1 Pc),,26,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Buns,,0,
DARLING BAKERY RANIPET,Sweet Heart (500 Gms),,137,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,
DARLING BAKERY RANIPET,Pepper Straw (500 Gms),,137,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,
DARLING BAKERY RANIPET,Cheese Straw (500 Gms),,137,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,
DARLING BAKERY RANIPET,Butter Puffs (500 Gms),,160,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,
DARLING BAKERY RANIPET,Cashew Puff (500 Gms),,160,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,
DARLING BAKERY RANIPET,Plain Muffins (1 Pc),,47,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Muffins,,0,
DARLING BAKERY RANIPET,Mixed Muffin (6 Pc),,28,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Muffins,,0,
DARLING BAKERY RANIPET,Red Velvet Muffin (1 Pc),,30,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Muffins,,0,
DARLING BAKERY RANIPET,Toy Muffin (1 Pc),,18,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Muffins,,0,
DARLING BAKERY RANIPET,Chocolate Muffins 91Pc),,30,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Muffins,,0,
DARLING BAKERY RANIPET,Japanese Cake (1 Pc),,19,2,5,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Cakes,,0,
DARLING BAKERY RANIPET,Sponge Cake (250 Gms),,83,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Cakes,,0,
DARLING BAKERY RANIPET,Strawberry Juice Cake (1 Pc),,24,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Cakes,,0,
DARLING BAKERY RANIPET,Mango Cake (1 Pc),,28,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Cakes,,0,
DARLING BAKERY RANIPET,Pineapple Juice Cake (1 Pc),,24,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Cakes,,0,
DARLING BAKERY RANIPET,Orange Juice Cake (1 Pc),,24,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Cakes,,0,
DARLING BAKERY RANIPET,Pineapple Cake (1 Pc),,26,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Cakes,,0,
DARLING BAKERY RANIPET,Plum Cake (250 Gms),,118,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Cakes,,0,
DARLING BAKERY RANIPET,Plum Cake (300 Gms),,107,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Cakes,,0,
DARLING BAKERY RANIPET,Plum Cake (500 Gms),,177,2,5,Non Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Cakes,,0,
