restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DESERT SHAWARMA,Desert's Signature Vintage Shawarma + Fried Chicken (Large) + Minty Mint + Vannila Ice Cream,,416,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Desert Combo 1,,0,,1,1
DESERT SHAWARMA,Vintage Shawarma Plate + Chicken Popcorn + Chicken Supreme Pizza + Vannila Milkshake + Blue Lagoon,,741,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Desert Combo 2,,0,,1,2
DESERT SHAWARMA,Mug Shawarma + BBQ Vintage Shawarma + Mexican Vintage Shawarma + Hot N Spicy Chicken Burger + BBQ Broasted Chicken Toast + Kiwi Delight + Raspberry,,1001,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Desert Combo 3,,0,,1,3
DESERT SHAWARMA,Spicy Veg Shawarma + Veg Lovers Pizza + Spicy Veg Burger + Shocking Black Currant + Bubble Gum Mojito,,572,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Desert Veg Combo,,0,,1,4
DESERT SHAWARMA,Peppy Paneer Toast Regular,,130,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,1
DESERT SHAWARMA,Peppy Loaded Veggies Toast Regular,,104,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,2
DESERT SHAWARMA,Chilly Garlic Toast Regular,,104,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,3
DESERT SHAWARMA,Country Delight Club Toast Regular,,182,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,4
DESERT SHAWARMA,Veg Loves Club Toast Regular,,156,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,5
DESERT SHAWARMA,Peppy Paneer Club Toast Regular,,182,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,6
DESERT SHAWARMA,Peppy Paneer Toast Special,,143,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,7
DESERT SHAWARMA,Peppy Loaded Veggies Toast Special,,117,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,8
DESERT SHAWARMA,Chilly Garlic Toast Special,,117,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,9
DESERT SHAWARMA,Country Delight Club Toast Special,,208,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,10
DESERT SHAWARMA,Veg Loves Club Toast Special,,182,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,11
DESERT SHAWARMA,Peppy Paneer Club Toast Special,,208,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Veg,,0,,2,12
DESERT SHAWARMA,Broasted Chicken Toast Regular,,130,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,1
DESERT SHAWARMA,Rotisserie Chicken Toast Regular,,117,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,2
DESERT SHAWARMA,BBQ Broasted Chicken Toast Regular,,143,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,3
DESERT SHAWARMA,BBQ Rotisserie Chicken Toast Regular,,130,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,4
DESERT SHAWARMA,Chicken Fiesta Club Toast Regular,,182,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,5
DESERT SHAWARMA,Broasted Chicken Club Toast Regular,,169,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,6
DESERT SHAWARMA,Rotisserie Chicken Club Toast Regular,,156,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,7
DESERT SHAWARMA,Broasted Chicken Toast Special,,143,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,8
DESERT SHAWARMA,Rotisserie Chicken Toast Special,,130,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,9
DESERT SHAWARMA,BBQ Broasted Chicken Toast Special,,156,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,10
DESERT SHAWARMA,BBQ Rotisserie Chicken Toast Special,,143,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,11
DESERT SHAWARMA,Chicken Fiesta Club Toast Special,,195,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,12
DESERT SHAWARMA,Broasted Chicken Club Toast Special,,195,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,13
DESERT SHAWARMA,Rotisserie Chicken Club Toast Special,,182,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Toast Non Veg,,0,,2,14
DESERT SHAWARMA,Camel Shawarma Regular,,247,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,1
DESERT SHAWARMA,Jumbo Shawarma Regular,,247,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,2
DESERT SHAWARMA,Bun Shawarma Regular,,143,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,3
DESERT SHAWARMA,Sandwich Shawarma Regular,,130,,,,10,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,4
DESERT SHAWARMA,Anda Shawarma Regular,,182,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,5
DESERT SHAWARMA,Mug Shawarma Regular,,247,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,6
DESERT SHAWARMA,Pani Puri Shawarma Regular,,156,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,7
DESERT SHAWARMA,Camel Shawarma Special,,299,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,8
DESERT SHAWARMA,Jumbo Shawarma Special,,299,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,9
DESERT SHAWARMA,Bun Shawarma Special,,169,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,10
DESERT SHAWARMA,Sandwich Shawarma Special,,156,,,,10,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,11
DESERT SHAWARMA,Anda Shawarma Special,,208,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,12
DESERT SHAWARMA,Mug Shawarma Special,,247,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,13
DESERT SHAWARMA,Pani Puri Shawarma Special,,156,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Our Trademarks,,0,,3,14
DESERT SHAWARMA,Veg Shawarma Regular,,117,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Lovers Delicious,,0,,4,1
DESERT SHAWARMA,Paneer Shawarma Regular,,143,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Lovers Delicious,,0,,4,2
DESERT SHAWARMA,Spicy Veg Shawarma Regular,,130,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Lovers Delicious,,0,,4,3
DESERT SHAWARMA,Cheese Lovers Shawarma Regular,,143,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Lovers Delicious,,0,,4,4
DESERT SHAWARMA,Spicy Cheesy Shawarma Regular,,156,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Lovers Delicious,,0,,4,5
DESERT SHAWARMA,Veg Shawarma Special,,130,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Lovers Delicious,,0,,4,6
DESERT SHAWARMA,Paneer Shawarma Special,,156,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Lovers Delicious,,0,,4,7
DESERT SHAWARMA,Spicy Veg Shawarma Special,,143,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Lovers Delicious,,0,,4,8
DESERT SHAWARMA,Cheese Lovers Shawarma Special,,156,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Lovers Delicious,,0,,4,9
DESERT SHAWARMA,Spicy Cheesy Shawarma Special,,169,,,,0,0,Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Lovers Delicious,,0,,4,10
DESERT SHAWARMA,Traditional Shawarma Roll,,104,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,0,,5,1
DESERT SHAWARMA,Vintage Shawarma Roll,,156,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,0,,5,2
DESERT SHAWARMA,BBQ Traditional Shawarma Roll,,117,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,0,,5,3
DESERT SHAWARMA,BBQ Vintage Shawarma Roll,,169,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,0,,5,4
DESERT SHAWARMA,Peri Peri Traditional Shawarma Roll,,117,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,0,,5,5
DESERT SHAWARMA,Peri Peri Vintage Shawarma Roll,,169,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,0,,5,6
DESERT SHAWARMA,Schezwan Traditional Shawarma Roll,,117,,,,0,0,Non Veg,10:30AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,0,,5,7
