restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL KUMARAIYA,Tomato Soup,,,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Soup,,0,,1,1
HOTEL KUMARAIYA,Veg Soup,,,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Soup,,0,,1,2
HOTEL KUMARAIYA,Sweet Corn Soup,,,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Soup,,0,,1,3
HOTEL KUMARAIYA,Keerai Soup,,,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Soup,,0,,1,4
HOTEL KUMARAIYA,Chicken Soup,,,,,,0,0,Non veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Soup,,0,,1,5
HOTEL KUMARAIYA,Mutton Soup,,,,,,0,0,Non veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Soup,,0,,1,6
HOTEL KUMARAIYA,Crab Soup,,,,,,0,0,Non veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Soup,,0,,1,7
HOTEL KUMARAIYA,Nattukozhi Soup,,,,,,0,0,Non veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Soup,,0,,1,8
HOTEL KUMARAIYA,Mushroom Soup,,,,,,0,0,Non veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Soup,,0,,1,9
HOTEL KUMARAIYA,Chicken 65 (Boneless),,90,,,,0,0,Non veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
HOTEL KUMARAIYA,Chicken 65 (Bone),,80,,,,0,0,Non veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,2
HOTEL KUMARAIYA,Pepper Chicken (Boneless),,140,,,,0,0,Non veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,3
HOTEL KUMARAIYA,Pepper Chicken (Bone),,120,,,,0,0,Non veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,4
