restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL M.S,Parotta (2 Nos),,25,,,,5,,Veg,12:00PM,2:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,1
HOTEL M.S,Chicken Biriyani,,65,,,,5,,Non Veg,12:00PM,2:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,2
HOTEL M.S,Spl Chicken Biriyani,,110,,,,5,,Non Veg,12:00PM,2:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,3
HOTEL M.S,Spl Egg Fry Biriyani,,110,,,,5,,Non Veg,12:00PM,2:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,3
HOTEL M.S,Chicken 65,,50,,,,5,,Non Veg,12:00PM,2:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,2,4
HOTEL M.S,Chicekn Pepper Fry,,80,,,,5,,Non Veg,12:00PM,2:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,2,5
HOTEL M.S,Chicken Pepper Semi Gravy,,80,,,,5,,Non Veg,12:00PM,2:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,2,6
HOTEL M.S,Chicken Pepper Gravy,,80,,,,5,,Non Veg,12:00PM,2:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,2,7
HOTEL M.S,Kothu Parotta,,80,,,,5,,Non Veg,12:00PM,2:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,8
HOTEL M.S,Parotta (2 Nos),,25,,,,5,,Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,9
HOTEL M.S,Bun Parotta,,20,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,10
HOTEL M.S,Kothu Parotta,,80,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,11
HOTEL M.S,Veechu Parotta,,20,,,,5,,Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,12
HOTEL M.S,Egg Veechu Parotta,,30,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,13
HOTEL M.S,Egg Laaba,,60,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,14
HOTEL M.S,Dosai,,20,,,,5,,Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,15
HOTEL M.S,Egg Dosai,,30,,,,5,,Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,16
HOTEL M.S,Onion Dosai,,35,,,,5,,Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,6,1
HOTEL M.S,Roast,,35,,,,5,,Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,6,2
HOTEL M.S,Egg Roast,,45,,,,5,,Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,6,3
HOTEL M.S,Onion Roast,,50,,,,5,,Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,6,4
HOTEL M.S,utthappam,,30,,,,5,,Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,6,5
HOTEL M.S,Onion Utthappam,,40,,,,5,,Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,6,6
HOTEL M.S,Chicken 65,,50,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,6,7
HOTEL M.S,Chicekn Pepper Fry,,80,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,2,5
HOTEL M.S,Chicken Pepper Semi Gravy,,80,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,2,6
HOTEL M.S,Chicken Pepper Gravy,,80,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,2,7
HOTEL M.S,Omblet,,20,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,6,8
HOTEL M.S,Spl omblet,,25,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,6,9
HOTEL M.S,Full Boil,,12,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,6,10
HOTEL M.S,Egg Poriyal,,20,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,6,11
HOTEL M.S,Kalaki,,12,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,4,1
HOTEL M.S,Kolambu Kalaki,,15,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,4,2
HOTEL M.S,Egg Fry,,30,,,,5,,Non Veg,06:00PM,8:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,4,3
