restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
i Treat,Mushroom Chilly ,,117,,,,3,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
i Treat,Panner Chilly,,130,,,,3,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,2
i Treat,Mushroom Manchuriyan,,130,,,,3,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,3
i Treat,Panner Manchuriyan,,143,,,,3,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,4
i Treat,Veg Balls (7 Pcs),,104,,,,3,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,5
i Treat,Panner Lollypop (4 Pcs),,195,,,,3,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,6
i Treat,Panner Popcorn,,169,,,,3,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,7
i Treat,Chilly Chicken,,143,,,,3,Non Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
i Treat,Dragan Chicken,,195,,,,3,Non Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,2
i Treat,Chicken Lollipop (4 Pcs),,195,,,,3,Non Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,3
i Treat,Chicken 555,,195,,,,3,Non Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,4
i Treat,Chicken Manchuriyan,,156,,,,3,Non Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,5
i Treat,Honey Chicken,,195,,,,3,Non Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,6
i Treat,Chicken Monika,,208,,,,3,Non Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,7
i Treat,Regular Panner Shawarma,,104,,,,4,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Shawarmas,,0,,3,1
i Treat,Regular Panner King Shawarma,,130,,,,4,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Shawarmas,,0,,3,2
i Treat,Regular Panner Plate Shawarma,,169,,,,6,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Shawarmas,,0,,3,3
i Treat,Pani Pori Panner Shawarma,,91,,,,4,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Shawarmas,,0,,3,4
i Treat,Spl Panner Shawarma Roll,,143,,,,4,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Shawarmas,,0,,3,5
i Treat,Spl Panner Shawarma Plate,,195,,,,4,Veg,12:30PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Shawarmas,,0,,3,6
i Treat,Regular Shawarma,,91,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Regular Shawarma,,0,,4,1
i Treat,Regular King Shawarma,,117,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Regular Shawarma,,0,,4,2
i Treat,Regular Cone Shawarma,,65,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Regular Shawarma,,0,,4,4
i Treat,Regular Plate Shawarma,,156,,,,6,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Regular Shawarma,,0,,4,5
i Treat,Regular Spl Shawarma Roll,,130,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Regular Shawarma,,0,,4,8
i Treat,Regular Spl Shawarma Plate,,195,,,,6,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Regular Shawarma,,0,,4,9
i Treat,Peri Peri Shawarama,,117,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Periperi Shawarma,,0,,5,1
i Treat,Peri Peri King Shawarma,,143,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Periperi Shawarma,,0,,5,2
i Treat,Peri Peri Plate Shawarma,,182,,,,6,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Periperi Shawarma,,0,,5,3
i Treat,Peri Peri Spl Plate Shawarma,,221,,,,6,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Periperi Shawarma,,0,,5,4
i Treat,Peri Peri Spl Roll Shawarma,,156,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Periperi Shawarma,,0,,5,5
i Treat,Mexican Shawarama,,117,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Mexican Shawarma,,0,,6,1
i Treat,Mexican King Shawarma,,143,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Mexican Shawarma,,0,,6,2
i Treat,Mexican Plate Shawarma,,182,,,,6,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Mexican Shawarma,,0,,6,3
i Treat,Mexican Cone Shawarma,,91,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Mexican Shawarma,,0,,6,4
i Treat,Mexican Spl Plate Shawarma,,221,,,,6,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Mexican Shawarma,,0,,6,5
i Treat,Mexican Spl Roll Shawarma,,156,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Mexican Shawarma,,0,,6,6
i Treat,BBQ Shawarama,,117,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat BBQ Shawarma,,0,,7,1
i Treat,BBQ King Shawarma,,143,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat BBQ Shawarma,,0,,7,2
i Treat,BBQ Plate Shawarma,,182,,,,6,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat BBQ Shawarma,,0,,7,3
i Treat,BBQ Cone Shawarma,,91,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat BBQ Shawarma,,0,,7,4
i Treat,BBQ Spl Plate Shawarma,,221,,,,6,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat BBQ Shawarma,,0,,7,5
i Treat,BBQ Spl Roll Shawarma,,156,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat BBQ Shawarma,,0,,7,6
i Treat,Mint Shawarma Roll,,104,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Mint Shawarma,,0,,8,1
i Treat,Mint Plate Shawarma ,,169,,,,6,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Mint Shawarma,,0,,8,2
i Treat,Mint Spl Shawarma Roll,,156,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Mint Shawarma,,0,,8,3
i Treat,Mint Spl Shawarma Plate,,221,,,,6,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Mint Shawarma,,0,,8,4
i Treat,Pizza Shawarma ,,182,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,1
i Treat,BBq Tattuvadai Shawarma,,91,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,2
i Treat,Mexican Tattuvadai Shawarma,,91,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,3
i Treat,Mexican Pani Pori Shawarma,,104,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,4
i Treat,Mexican Hot Dog Shawarma,,130,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,5
i Treat,Mexican Burger Shawarma,,143,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,6
i Treat,Peri Peri Tattuvadai Shawarma,,91,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,7
i Treat,Peri Peri Panipuri Shawarma,,104,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,8
i Treat,Peri Peri Burger Shawarma,,143,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,9
i Treat,Peri Peri Cone Shawarma,,91,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,10
i Treat,Peri Peri Hot Dog Shawarma,,130,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,11
i Treat,Thattuvadai Shawarma,,65,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,12
i Treat,BBQ Hot Dog Shawarma,,130,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,13
i Treat,BBQ Burger Shawarma,,143,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,14
i Treat,BBQ Pani Pori Shawarma,,104,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,15
i Treat,Regular Hot Dog Shawarma,,104,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,16
i Treat,Regular Burger Shawarma,,117,,,,4,Non Veg,05:00PM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Itreat Special Shawarma,,0,,9,17
