restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
iTreat Restro,Vegetable Rice,,60,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,1,1
iTreat Restro,Mushroom Rice,,80,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,1,2
iTreat Restro,Paneer Rice,,90,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,1,3
iTreat Restro,Mix Veg Rice,,100,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,1,4
iTreat Restro,Egg Rice,,70,,,,,Non Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,1,4
iTreat Restro,Chicken Rice,,100,,,,,Non Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,1,4
iTreat Restro,Veg Noodles,,60,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,5
iTreat Restro,Mushroom Noodles,,80,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,6
iTreat Restro,Paneer Noodles,,90,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,7
iTreat Restro,Mix Veg Noodles,,100,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,8
iTreat Restro,Egg Noodles,,70,,,,,Non Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,9
iTreat Restro,Chicken Noodles,,100,,,,,Non Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,10
iTreat Restro,Veg Ball Manchurian,,120,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,11
iTreat Restro,Mushroom Manchurian,,90,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,12
iTreat Restro,Paneer Manchurian,,100,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,13
iTreat Restro,Paneer Lollipop,,150,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,14
iTreat Restro,Mushroom Chilli,,90,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,15
iTreat Restro,Paneer Chilli,,100,,,,,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,16
iTreat Restro,Muhalai Briyani,"Raitha, Boiled Egg 1, Bread Halwa, Talcha",130,,,,,Non Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,17
iTreat Restro,Chicken Briyani,"Raitha, Boiled Egg 1, Bread Halwa, Talcha",100,,,,,Non Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,18
iTreat Restro,Egg Briyani,"Raitha, Boiled Egg 1, Bread Halwa, Talcha",70,,,,,Non Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,19
iTreat Restro,Chilli Chicken,,120,,,,,Non Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,19
