restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,item_status,image,main_cat,sub_cat,recommended,ingredients
Jothi Biriyani,1/2 Mutton Briyani,,105,0,Non Veg,11:30, 8:00PM,1,,Briyani,,1,
Jothi Biriyani,1/2 Mutton Briyani With Egg,,115,0,Non Veg,11:30, 8:00PM,1,,Briyani,,0,
Jothi Biriyani,1/4 Mutton Briyani ,,65,0,Non Veg,11:30, 8:00PM,1,,Briyani,,0,
Jothi Biriyani,Extra Mutton,,55,0,Non Veg,11:30, 8:00PM,1,,Briyani,,0,
Jothi Biriyani,1/2 Chicken Briyani,,105,0,Non Veg,11:30, 8:00PM,1,,Briyani,,0,
Jothi Biriyani,1/2 Chicken Briyani With Egg,,115,0,Non Veg,11:30, 8:00PM,1,,Briyani,,1,
Jothi Biriyani,1/4 Chicken Briyani,,60,0,Non Veg,11:30, 8:00PM,1,,Briyani,,0,
Jothi Biriyani,1/2 Plain Briyani (Kushka),,55,0,Non Veg,11:30, 8:00PM,1,,Briyani,,0,
Jothi Biriyani,1/4 Plain Briyani (Kushka),,30,0,Non Veg,11:30, 8:00PM,1,,Briyani,,0,
Jothi Biriyani,1/2 Egg Briyani ,,65,0,Non Veg,11:30, 8:00PM,1,,Briyani,,0,
Jothi Biriyani,Vanjaram Fish Fry,,140,0,Non Veg,11:30, 8:00PM,1,,Starters Dry,,1,
Jothi Biriyani,Chicken Fry,,85,0,Non Veg,11:30, 8:00PM,1,,Starters Dry,,0,
Jothi Biriyani,Chicken 65,,80,0,Non Veg,11:30, 8:00PM,1,,Starters Dry,,1,
Jothi Biriyani,Boiled Egg,,12.5,0,Non Veg,11:30, 8:00PM,1,,Starters Dry,,0,
