restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KOKKARAKKO,Chicken Briyani (1 Kg),,130,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,1
KOKKARAKKO,Chicken Briyani (1/2 Kg),,70,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,2
KOKKARAKKO,Mutton Briyani (1 Kg),,220,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,3
KOKKARAKKO,Mutton Briyani (1/2 Kg),,110,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,4
KOKKARAKKO,Chicken Empty Briyani (1 Kg),,90,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,5
KOKKARAKKO,Chicken Empty Briyani (1/2 Kg),,50,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,6
KOKKARAKKO,Mutton Empty Briyani (1 Kg),,120,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,7
KOKKARAKKO,Mutton Empty Briyani (1/2 Kg),,60,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,8
KOKKARAKKO,Tandoori Chicken (Full),,300,,,,0,0,Non Veg,,,,,01:00PM,11:00PM,,,"1,2,3,4,5,6,7",1,,Kokkarakko Specials,,0,,9,1
KOKKARAKKO,Tandoori Chicken (Half),,170,,,,0,0,Non Veg,,,,,01:00PM,11:00PM,,,"1,2,3,4,5,6,7",1,,Kokkarakko Specials,,0,,9,2
KOKKARAKKO,Tandoori Chicken (Quarter),,90,,,,0,0,Non Veg,,,,,01:00PM,11:00PM,,,"1,2,3,4,5,6,7",1,,Kokkarakko Specials,,0,,9,3
KOKKARAKKO,Grill Chicken (Full),,300,,,,0,0,Non Veg,,,,,01:00PM,11:00PM,,,"1,2,3,4,5,6,7",1,,Kokkarakko Specials,,0,,9,4
