restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
LAKKS MAHINDRRA STORES,Maida  (250 Gm),,12,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,1,1
LAKKS MAHINDRRA STORES,Maida  (500 Gm),,23,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,1,2
LAKKS MAHINDRRA STORES,Maida (1  Kg),,45,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,1,3
LAKKS MAHINDRRA STORES,Naga Madia ( 500 Gm),,30,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,1,4
LAKKS MAHINDRRA STORES,Kadalai Mavu No 1(250Gm),,21,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,1,5
LAKKS MAHINDRRA STORES,Kadalai Mavu No 1(500Gm),,39,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,1,6
LAKKS MAHINDRRA STORES,Kadalai Mavu No 1(1kg),,76,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,1,7
LAKKS MAHINDRRA STORES,Arisi Mavu  No 1(250 Gm),,12,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,8
LAKKS MAHINDRRA STORES,Arisi Mavu  No 1(500Gm),,21,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,9
LAKKS MAHINDRRA STORES,Arisi Mavu  No 1(1Kg),,40,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,10
LAKKS MAHINDRRA STORES,Kilangu Mavu (250Gm),,14,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,11
LAKKS MAHINDRRA STORES,Kilangu Mavu (500Gm),,26,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,12
LAKKS MAHINDRRA STORES,Kilangu Mavu (1Kg),,50,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,13
LAKKS MAHINDRRA STORES,Aashirvaad Kothumai Mavu (500Gm),,27,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,14
LAKKS MAHINDRRA STORES,Aashirvaad Kothumai Mavu (1 kg),,54,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,15
LAKKS MAHINDRRA STORES,Aashirvaad Kothumai Mavu (5Kg),,265,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,16
LAKKS MAHINDRRA STORES,Aashirvaad Kothumai Mavu (10 Kg),,468,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,17
LAKKS MAHINDRRA STORES,Patanhaji Atta Mavu (1Kg ),,49,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,18
LAKKS MAHINDRRA STORES,Patanhaji Atta Mavu (2Kg ),,94,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,7
LAKKS MAHINDRRA STORES,Patanhaji Atta Mavu (5Kg ),,225,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,1
LAKKS MAHINDRRA STORES,Patanhaji Atta Mavu (10Kg ),,425,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,2
LAKKS MAHINDRRA STORES,PillsBury Atta Mavu (500Gm),,27,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,3
LAKKS MAHINDRRA STORES,PillsBury Atta Mavu (1Kg),,54,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flour(Mavu),,0,,4,3
LAKKS MAHINDRRA STORES,Thuvaram Paruppu No1(250Gm),,27,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,4
LAKKS MAHINDRRA STORES,Thuvaram Paruppu No1(500Gm),,51,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,5
LAKKS MAHINDRRA STORES,Thuvaram Paruppu No1 (1Kg),,100,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,6
LAKKS MAHINDRRA STORES,PasiParuppu (250Gm),,33,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,7
LAKKS MAHINDRRA STORES,PasiParuppu (500Gm),,65,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,8
LAKKS MAHINDRRA STORES,PasiParuppu (1Kg),,128,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,9
LAKKS MAHINDRRA STORES,Kalai Parurppu(250Gm),,19,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,1
LAKKS MAHINDRRA STORES,Kalai Parurppu(500Gm),,36,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,2
LAKKS MAHINDRRA STORES,Kalai Parurppu(1Kg),,70,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,3
LAKKS MAHINDRRA STORES,Uluntham Paruppu (250Gm),,32,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,4
LAKKS MAHINDRRA STORES,Uluntham Paruppu (500Gm),,61,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,5
LAKKS MAHINDRRA STORES,Uluntham Paruppu (1Kg),,120,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,6
LAKKS MAHINDRRA STORES,Uluntham Paruppu Karuppu(250Gm),,28,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,1
LAKKS MAHINDRRA STORES,Uluntham Paruppu Karuppu (500Gm),,55,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,2
LAKKS MAHINDRRA STORES,Uluntham Paruppu Karuppu (1Kg),,110,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,3
LAKKS MAHINDRRA STORES,Uluntham Paruppu Udai (250Gm),,14,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,4,4
LAKKS MAHINDRRA STORES,Uluntham Paruppu Udai (500Gm),,32,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,5,1
LAKKS MAHINDRRA STORES,Uluntham Paruppu Udai (1Kg),,120,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,5,2
LAKKS MAHINDRRA STORES,Pat Paruppu Canada ( 1Kg),,76,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,5,3
LAKKS MAHINDRRA STORES,Ulunthu Sree Gold (500Gm),,65,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,5,4
LAKKS MAHINDRRA STORES,Ulunthu Sree Gold (1 Kg),,130,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dhall(Paruppu),,0,,5,5
LAKKS MAHINDRRA STORES,Pacha Pattani (250Gm),,49,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gram(Paiyaru),,0,,5,1
LAKKS MAHINDRRA STORES,Pacha Pattani (500Gm),,95,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gram(Paiyaru),,0,,5,2
LAKKS MAHINDRRA STORES,Pacha Pattani (1Kg),,188,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gram(Paiyaru),,0,,5,3
LAKKS MAHINDRRA STORES,V Pattani(250Gm),,22,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gram(Paiyaru),,0,,5,4
LAKKS MAHINDRRA STORES,V Pattani(500 Gm),,41,,,,0,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gram(Paiyaru),,0,,5,5
