restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
LASSI HOUSE / THE GRILL THEORY,Sweet Lassi,,53,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi ,,0,,1,1
LASSI HOUSE / THE GRILL THEORY,Mango Lassi,,65,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi ,,0,,1,2
LASSI HOUSE / THE GRILL THEORY,Banana Lassi,,65,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi ,,0,,1,3
LASSI HOUSE / THE GRILL THEORY,Paan Lasai,,76,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi ,,0,,1,4
LASSI HOUSE / THE GRILL THEORY,Rose Lassi,,76,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi ,,0,,1,5
LASSI HOUSE / THE GRILL THEORY,Chocolate Lassi,,76,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi ,,0,,1,6
LASSI HOUSE / THE GRILL THEORY,Strawberry Lassi,,76,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi ,,0,,1,7
LASSI HOUSE / THE GRILL THEORY,Kiwi Lassi,,76,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi ,,0,,4,8
LASSI HOUSE / THE GRILL THEORY,Fruit Lassi,,76,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi ,,0,,4,9
LASSI HOUSE / THE GRILL THEORY,Saffron Lassi,,88,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi ,,0,,4,10
