restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
NO.5 BAKER'S STREET,Chocolate CupCake (6Pcs ),Order before One Day,320,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,1,1
NO.5 BAKER'S STREET,Vanilla CupCake (EggLess)(6 Pcs),Order before One Day,320,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,2,1
NO.5 BAKER'S STREET,Rose Tres Leches (Egg Less) 6Pcs,Order before One Day,370,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,3,1
NO.5 BAKER'S STREET,Salted Caramel (6 Pcs),Order before One Day,380,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,3,1
NO.5 BAKER'S STREET,Red VelVet (6 Pcs),Order before One Day,420,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,4,1
NO.5 BAKER'S STREET,Mini Cheese Cake (6pcs),Order before One Day,410,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,5,1
NO.5 BAKER'S STREET,Chocolava (6 Pcs),Order before One Day,470,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,5,1
NO.5 BAKER'S STREET,Blueberry Filled (Eggless) (6 Pcs),Order before One Day,390,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,6,1
NO.5 BAKER'S STREET,Blueberry (Eggless) (6 Pcs),Order before One Day,390,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,1,5
NO.5 BAKER'S STREET,Strawberry Filled (Egg less) (6 Pcs),Order before One Day,390,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,1,5
NO.5 BAKER'S STREET,Strawberry (Egg Less)(6pcs),Order before One Day,390,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,2,5
NO.5 BAKER'S STREET,Mango filled (Egg Less)(6 Pcs),Order before One Day,370,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,CupCakes,,0,,2,5
NO.5 BAKER'S STREET,Lemon Blueberry (Eggless) (8Pcs),Order before One Day,740,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Muffins,,0,,1,1
NO.5 BAKER'S STREET,Double Chocolate (Eggless) (8 Pcs),Order before One Day,740,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Muffins,,0,,3,1
NO.5 BAKER'S STREET,Chocolate Cake (1/2 Kg),Order before One Day,520,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Birthday Cake,,0,,2,1
NO.5 BAKER'S STREET,Vanila (Egg Less) (1/2Kg),Order before One Day,520,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Birthday Cake,,0,,3,1
NO.5 BAKER'S STREET,Butterscotch (Egglees) (1/2Kg),Order before One Day,570,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Birthday Cake,,0,,3,1
NO.5 BAKER'S STREET,Rose Tres Leches (Egg Less) (1/2Kg),Order before One Day,570,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Birthday Cake,,0,,4,1
NO.5 BAKER'S STREET,Salted Caramel (1/2Kg),Order before One Day,580,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Birthday Cake,,0,,1,4
NO.5 BAKER'S STREET,Red VelVet (1/2Kg),Order before One Day,670,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Birthday Cake,,0,,2,4
NO.5 BAKER'S STREET,Brownie Cake (1/2Kg),Order before One Day,520,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Birthday Cake,,0,,6,2
NO.5 BAKER'S STREET,Basque Burnt Cheese Cake (1/2Kg),Order before One Day,820,,,,0,,Veg,10:30AM ,07:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Birthday Cake,,0,,1,4
