restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
PAZHAMUDIR NILAYAM,Pomogranate(pure) ,,90,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,1,1
PAZHAMUDIR NILAYAM,Mosambi Juice,,50,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,2,1
PAZHAMUDIR NILAYAM,Apple Juice,,60,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,3,1
PAZHAMUDIR NILAYAM,Orange Juice,,60,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,4,1
PAZHAMUDIR NILAYAM,Saththukudi Juice,,60,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,5,1
PAZHAMUDIR NILAYAM,Mango juice,,50,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,11,1
PAZHAMUDIR NILAYAM,Carrot Juice,,50,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,13,1
PAZHAMUDIR NILAYAM,Grapes Juice,,60,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,14,1
PAZHAMUDIR NILAYAM,Pineapple Juice,,60,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,15,1
PAZHAMUDIR NILAYAM,Water Melon Juice,,40,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,16,1
PAZHAMUDIR NILAYAM,Mixer Juice,,60,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,17,1
PAZHAMUDIR NILAYAM,Guava Juice,,40,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,20,1
PAZHAMUDIR NILAYAM,Papaya Juice,,35,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,21,1
PAZHAMUDIR NILAYAM,Amla Juice,,35,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,22,1
PAZHAMUDIR NILAYAM,Cucumber Juice,,30,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,23,1
PAZHAMUDIR NILAYAM,Lemon Juice,,30,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,24,1
PAZHAMUDIR NILAYAM,Lemon Ginger Juice,,50,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,25,1
PAZHAMUDIR NILAYAM,Lemon Mint,,50,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,26,1
PAZHAMUDIR NILAYAM,Lemon Juice,,50,,,,,Veg,08.00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice 300ML,,0,,27,1
