restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
THEKKATHU PORICHA PAROTTA,Idly 1st,,12,,,,5,0,Veg,8.30AM,10.30AM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
THEKKATHU PORICHA PAROTTA,Dosai,,25,,,,5,0,Non Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,1
THEKKATHU PORICHA PAROTTA,Poricha Parotta (1 set),,36,,,,5,0,Non Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
THEKKATHU PORICHA PAROTTA,Parotta,,20,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,1
THEKKATHU PORICHA PAROTTA,Onion Roast,,50,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,5,1
THEKKATHU PORICHA PAROTTA,Ghee Roast,,50,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
THEKKATHU PORICHA PAROTTA,Kothu Parotta,,60,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,2
THEKKATHU PORICHA PAROTTA,Cillon Parotta,,80,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,2
THEKKATHU PORICHA PAROTTA,Veechu parotta,,20,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,2
THEKKATHU PORICHA PAROTTA,Egg Veechu Parotta,,30,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,5,2
THEKKATHU PORICHA PAROTTA,Kudal Veechu Parotta,,140,,,,5,0,Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,3
THEKKATHU PORICHA PAROTTA,Veg Meals,,60,,,,5,0,Veg,12:00PM,04:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,3
THEKKATHU PORICHA PAROTTA,Non Veg Meals,,90,,,,5,0,Non Veg,12:00PM,04:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,3,3
THEKKATHU PORICHA PAROTTA,Biriyani,,90,,,,5,0,Non Veg,12:00PM,04:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,4,3
THEKKATHU PORICHA PAROTTA,Mt Biriyani,,50,,,,5,0,Non Veg,12:00PM,04:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,5,3
THEKKATHU PORICHA PAROTTA,Kudal Fry,,100,,,,5,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,6,3
