restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SRI NARAYANA HOTEL (Pure Veg),Badam Halwa 250 Grams,,360,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,1,1
SRI NARAYANA HOTEL (Pure Veg),Wheat Halwa 250 Grams,,198,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,1,1
SRI NARAYANA HOTEL (Pure Veg),Mysore Pak 250 Grams,,198,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,1,1
SRI NARAYANA HOTEL (Pure Veg),Munthiri Cake 250 Grams,,300,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,1,1
SRI NARAYANA HOTEL (Pure Veg),Rava Laddu 250 Grams,,138,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,1,1
SRI NARAYANA HOTEL (Pure Veg),White Appam 2 Pcs,,60,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,1,1
SRI NARAYANA HOTEL (Pure Veg),Ashoka Halwa 100 Grams,,54,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,1,1
SRI NARAYANA HOTEL (Pure Veg),Akravadisal 100 Grams,,60,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,1,1
SRI NARAYANA HOTEL (Pure Veg),Kesari 100 Grams,,48,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,1,1
SRI NARAYANA HOTEL (Pure Veg),Mixture 250 Grams,,114,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,1,1
SRI NARAYANA HOTEL (Pure Veg),Ottu Pakoda 250 Grams,,138,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,1,1
