restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SS BIRIYANI & GRAVY CORNER,Chicken Biriyani 1 Kg,,180,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,1
SS BIRIYANI & GRAVY CORNER,Chicken Plain Biriryani ,,65,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,6,2
SS BIRIYANI & GRAVY CORNER,Chicken Egg Biriryani ,,75,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,6,2
SS BIRIYANI & GRAVY CORNER,Chicken Biriyani 1/2 Kg,,95,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
SS BIRIYANI & GRAVY CORNER,Chicken Red Leg Piece,,60,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,1,1
SS BIRIYANI & GRAVY CORNER,Chicken Green Leg Piece,,60,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,1,1
SS BIRIYANI & GRAVY CORNER,Chicken 65 Bone(100 Gram),,60,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,1,1
SS BIRIYANI & GRAVY CORNER,Green Chicken Gravy,,120,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravy,,0,,3,2
SS BIRIYANI & GRAVY CORNER,Chettinad Chicken Gravy,,120,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravy,,0,,4,2
SS BIRIYANI & GRAVY CORNER,"Chicken Bucket Biriyani (Sweet, Dalcha,Raitha,Egg ,Chilly or Gravy)",6 to 8 Members ,1160,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bucket Biriyani,,0,,5,2
SS BIRIYANI & GRAVY CORNER,"Chicken Bucket Biriyani Small (Sweet, Dalcha,Raitha,Egg ,Chilly or Gravy)",3 to 4 Member ,580,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bucket Biriyani,,0,,6,2
SS BIRIYANI & GRAVY CORNER,Chicken Biryani + Chilly +  Jigarthanda (1/2ltr),,200,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SS Combos,,0,,6,2
SS BIRIYANI & GRAVY CORNER,Chicken Biryani + Red Chicken Leg Piece,,140,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SS Combos,,0,,6,2
SS BIRIYANI & GRAVY CORNER,Chicken Biryani + Green Chicken Leg Piece,,140,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SS Combos,,0,,6,2
SS BIRIYANI & GRAVY CORNER,Chicken Biriyani + Gravy,,140,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SS Combos,,0,,1,2
SS BIRIYANI & GRAVY CORNER,Chicken Biriyani + Chicken 65,,140,,,,0,Non Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SS Combos,,0,,2,2
SS BIRIYANI & GRAVY CORNER,Jigarthanda 1 Cup,,50,,,,0,Veg,11.00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Jigarthanda,,0,,2,2
