restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SURESH KARAM STALL,Satha Garam,,19,,,,0,Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Karam Items,,0,,1,1
SURESH KARAM STALL,Muttai Garam,,32,,,,0,Non Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Karam Items,,0,,1,2
SURESH KARAM STALL,Elladai Garam,,32,,,,0,Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Karam Items,,0,,1,3
SURESH KARAM STALL,Elladai with Muttai Garam,,44,,,,0,Non Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Karam Items,,0,,1,5
SURESH KARAM STALL,Muruku with Muttai Garam,,44,,,,0,Non Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Karam Items,,0,,1,5
SURESH KARAM STALL,Muttai Set,,19,,,,0,Non Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Set Items,,0,,1,5
SURESH KARAM STALL,Elladai Set  (5Nos),,25,,,,0,Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Set Items,,0,,1,4
SURESH KARAM STALL,Muruku Muttai Set (4 Pcs),,44,,,,0,Non Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Set Items,,0,,1,5
SURESH KARAM STALL,Elladai with Muttta Set (5 Pcs),,44,,,,0,Non Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Set Items,,0,,1,5
SURESH KARAM STALL,Ponda Garam,,32,,,,0,Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Set Items,,0,,1,5
SURESH KARAM STALL,Samsa Garam,,32,,,,0,Veg,10.30AM,09:00PM,,,,,,,"1,2,3,4,5,6",1,,Set Items,,0,,1,5
