restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
THE PIZZA HUB,Margherita Pizza( R ),(Single Coat of Cheese),124,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Simple Pizza,,0,,1,1
THE PIZZA HUB,Margherita Pizza( M ),(Single Coat of Cheese),195,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Simple Pizza,,0,,1,2
THE PIZZA HUB,Extra Cheese( R ),,75,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Simple Pizza,,0,,1,3
THE PIZZA HUB,Extra Cheese( M ),,95,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Simple Pizza,,0,,1,4
THE PIZZA HUB,Double Cheese Pizza( R ),Double Coat Cheese,205,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Standard Pizza,,0,,2,1
THE PIZZA HUB,Double Cheese Pizza( M ),Double Coat Cheese,275,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Standard Pizza,,0,,2,2
THE PIZZA HUB,Cheese & Corn Pizza( R ),,205,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Standard Pizza,,0,,2,3
THE PIZZA HUB,Cheese & Corn Pizza( M ),,275,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Standard Pizza,,0,,2,4
THE PIZZA HUB,Cheese & Onions( R ),,205,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Standard Pizza,,0,,2,5
THE PIZZA HUB,Cheese & Onions( M ),,275,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Standard Pizza,,0,,2,6
THE PIZZA HUB,Cheese & Tomato( R ),,205,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Standard Pizza,,0,,2,7
THE PIZZA HUB,Cheese & Tomato( M ),,275,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Standard Pizza,,0,,2,8
THE PIZZA HUB,Extra Cheese( R ),,75,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Standard Pizza,,0,,2,9
THE PIZZA HUB,Extra Cheese( M ),,95,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Standard Pizza,,0,,2,10
THE PIZZA HUB,Garden Delight( R ),"( Green Bell Pepper,Onions,Mushroom,Baby Corn,Jalapenos)",275,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,1
THE PIZZA HUB,Panner World( R ),"(Onion,Yellow Bell Pepper,Olives,Tomatoes,Panner)",275,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,2
THE PIZZA HUB,Schezwan Veggie( R ),"(Spicy Corn,Capsicum,Spicy Panner,in Spicy Sauce )",275,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,3
THE PIZZA HUB,Green Veggie( R ),"(Corn,Red Bell Pepper,Olives,JalaPeno,Brocolli)",275,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,4
THE PIZZA HUB,Garden Delight( M ),"( Green Bell Pepper,Onions,Mushroom,Baby Corn,Jalapenos)",345,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,5
THE PIZZA HUB,Panner World( M ),"(Onion,Yellow Bell Pepper,Olives,Tomatoes,Panner)",345,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,6
THE PIZZA HUB,Green Veggie( M ),"(Corn,Red Bell Pepper,Olives,JalaPeno,Brocolli)",345,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,7
THE PIZZA HUB,Schezwan Veggie( M ),"(Spicy Corn,Capsicum,Spicy Panner,in Spicy Sauce )",345,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,8
THE PIZZA HUB,Garden Delight( L ),"( Green Bell Pepper,Onions,Mushroom,Baby Corn,Jalapenos)",435,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,9
THE PIZZA HUB,Panner World( L ),"(Onion,Yellow Bell Pepper,Olives,Tomatoes,Panner)",435,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,10
THE PIZZA HUB,Green Veggie( L ),"(Corn,Red Bell Pepper,Olives,JalaPeno,Brocolli)",435,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,11
THE PIZZA HUB,Schezwan Veggie( L ),"(Spicy Corn,Capsicum,Spicy Panner,in Spicy Sauce )",435,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,12
THE PIZZA HUB,Extra Cheese( R ),,75,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,13
THE PIZZA HUB,Extra Cheese( M ),,95,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,14
THE PIZZA HUB,Extra Cheese( L ),,115,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Supreme Pizza,,0,,3,15
THE PIZZA HUB,Pepper Paneer Paradise( M ),"(Pepper Fried Panner ,Yellow &Green Bell Pepper ,Onions,Olives,and Red Parika & Tomatoes )",395,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,1
THE PIZZA HUB,Veggie Mediteranean( M ) ,"(Green &Red Bell Pepper .Pineapple,Baby Corn,Green Chillies,Mushroom,Jalapenos)",395,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,2
THE PIZZA HUB,Green Florets( M ) ,"(Onion,Mushroom,Green Bell Pepper ,Brocolli,Baby Corn Roasted In Peri Peri Masala)",395,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,3
THE PIZZA HUB,Pasta In Pizza( M ) ,"(Loaded with Cheese ,Creamy Pasta,olives,Yellow Bell Pepper)",395,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,4
THE PIZZA HUB,Veggie Extreme( M ) ,"(Mushroom ,Golden Corns Bell Pepper Tomatoes,Panner & Red Paprika)",395,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,5
THE PIZZA HUB,Pepper Paneer Paradise( L ),"(Pepper Fried Panner ,Yellow &Green Bell Pepper ,Onions,Olives,and Red Parika & Tomatoes )",505,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,6
THE PIZZA HUB,Veggie Mediteranean( L ),"(Green &Red Bell Pepper .Pineapple,Baby Corn,Green Chillies,Mushroom,Jalapenos)",505,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,7
THE PIZZA HUB,Green Florest( L ),"(Onion,Mushroom,Green Bell Pepper ,Brocolli,Baby Corn Roasted In Peri Peri Masala)",505,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,8
THE PIZZA HUB,Pasta In Pizza( L),"(Loaded with Cheese ,Creamy Pasta,olives,Yellow Bell Pepper)",505,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,9
THE PIZZA HUB,Veggie Extreme( L ),"(Mushroom ,Golden Corns Bell Pepper Tomatoes,Panner & Red Paprika)",505,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,10
THE PIZZA HUB,Extra Cheese( R ),,75,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,11
THE PIZZA HUB,Extra Cheese( M ),,95,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,12
THE PIZZA HUB,Extra Cheese( L ),,115,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Ultimate  Pizza,,0,,4,13
THE PIZZA HUB,Spicy Chicken Pizza( R ),Single Coat of Cheese with Spicy Chicken and Crunchy Capsicum,255,,,,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Simple Pizza,,0,,5,1
THE PIZZA HUB,Pepper Chicken Pizza( R ),Single Coat of Cheese with Pepper Chicken and Crunchy Onions,255,,,,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Simple Pizza,,0,,5,2
THE PIZZA HUB,BBQ Chicken Pizza( R ),BBQ Chicken Onions And Capsicums,255,,,,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Simple Pizza,,0,,5,3
