restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
THEKKATHU PORICHA PAROTA,Idly 1st,,12,,,,5,0,Veg,8.30AM,10.30AM,,,,,6.30PM,10.30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
THEKKATHU PORICHA PAROTA,Dosai,,25,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
THEKKATHU PORICHA PAROTA,Poricha Parotta (1 set),,36,,,,5,0,Non Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,3
THEKKATHU PORICHA PAROTA,Parotta,,20,,,,5,0,Non Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,4
THEKKATHU PORICHA PAROTA,Onion Roast,,50,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,5
THEKKATHU PORICHA PAROTA,Ghee Roast,,50,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,6
THEKKATHU PORICHA PAROTA,Kothu Parotta,,60,,,,5,0,Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,7
THEKKATHU PORICHA PAROTA,Cillon Parotta,,80,,,,5,0,Non Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,8
THEKKATHU PORICHA PAROTA,Veechu parotta,,20,,,,5,0,Non Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,9
THEKKATHU PORICHA PAROTA,Egg Veechu Parotta,,30,,,,5,0,Non Veg,8.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,10
THEKKATHU PORICHA PAROTA,Kudal Veechu Parotta,,140,,,,5,0,Non Veg,10:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,11
THEKKATHU PORICHA PAROTA,Veg Meals,,60,,,,5,0,Veg,12:00PM,04:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,1
THEKKATHU PORICHA PAROTA,Non Veg Meals,,90,,,,5,0,Non Veg,12:00PM,04:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,2
THEKKATHU PORICHA PAROTA,Biriyani,,90,,,,5,0,Non Veg,12:00PM,04:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,3,3
THEKKATHU PORICHA PAROTA,Mt Biriyani,,50,,,,5,0,Non Veg,12:00PM,04:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,3,4
THEKKATHU PORICHA PAROTA,Kudal Fry,,100,,,,5,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,4,5
THEKKATHU PORICHA PAROTA,Mutton Sukka Fry,,110,,,,5,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,4,6
THEKKATHU PORICHA PAROTA,Nattukozhi Fry,,100,,,,5,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,4,7
THEKKATHU PORICHA PAROTA,Chilli Chicken,,50,,,,5,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,8
THEKKATHU PORICHA PAROTA,Fish,,60,,,,5,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,9
THEKKATHU PORICHA PAROTA,Kudal Gravy,,100,,,,5,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,6,1
THEKKATHU PORICHA PAROTA,Mutton Sukka Gravy,,110,,,,5,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,6,2
