restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
VEDHA AGENCIES,Button Mushroom Pkt,,55,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Mushroom,,0,,1,1
VEDHA AGENCIES,Oyster Mushroom Pkt,,40,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Mushroom,,0,,1,2
VEDHA AGENCIES,Dairy Hut Panner(200grm),,80,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Panner,,0,,1,3
VEDHA AGENCIES,Dairy Hut Panner(1Kg),,290,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Panner,,0,,1,4
VEDHA AGENCIES,VKA  Panner(1Kg),,340,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Panner,,0,,1,4
VEDHA AGENCIES,VKA  Panner(200 grm),,90,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Panner,,0,,1,4
VEDHA AGENCIES,Dairy Hut Butter(500grm),,220,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Panner,,0,,1,6
VEDHA AGENCIES,Dairy Hut Butter(200grm),,100,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Panner,,0,,1,6
VEDHA AGENCIES,Dairy Hut Butter(100grm),,50,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Panner,,0,,1,6
VEDHA AGENCIES,Dairy Hut Cheese(200grm),,105,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cheese,,0,,1,7
VEDHA AGENCIES,Dairy Hut Cheese(1kg),,400,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cheese,,0,,1,8
VEDHA AGENCIES,Plain Khova (1kg),,250,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Khova,,0,,1,9
VEDHA AGENCIES,Sweet Khova (1kg),,230,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Khova,,0,,1,10
VEDHA AGENCIES,Veg Chicken (500grm),,365,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Veg Chicken,,0,,1,11
VEDHA AGENCIES,veg Chicken (1kg),,570,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Veg Chicken,,0,,1,12
VEDHA AGENCIES,Veg Mutton(500 grm),,380,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Veg Mutton,,0,,1,13
VEDHA AGENCIES,Veg Fish(500grm),,380,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Veg Fish,,0,,1,15
VEDHA AGENCIES,Baby Corn (1 pkt),,40,,,,0,Veg,08:00AM,6:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Baby Corn,,0,,1,15
