restaurant_name,food_item,description,price,special_price,special_from,special_to,,packing_charge,max_packing_charge,veg_nonveg,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_stock,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ZWARMA,Classic Shawarma,Chicken marinated with authentic spices to bring typical shawarma form the aroma of origin(with oita bread and garlic mayonnise),80,15%,12,92,92,0,0,Non Veg,2:30 PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,1,,0,0
ZWARMA,Spicy Shawarma,For Spicy lavers Flavorsome Spicy in Shawarma(with Pita bread and garlic mayonnaise),90,15%,13.5,103.5,104,0,0,Non Veg,2:30 PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,2,,1,2
ZWARMA,Biriyani Shawarma,"For Spicy Llavers, Flavorsome briyani spices in shawarma(with pita bread and garilc mayonnaise)",90,15%,13.5,103.5,104,0,0,Non Veg,2:30 PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,1,,1,4
ZWARMA,Kasumberry Shawarma,Savory dhal and Special Seasoned Spices (with Pita bread and Garlic Mayonnaise),90,15%,13.5,103.5,104,0,0,Non Veg,2:30 PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,1,,1,5
ZWARMA,Peri Peri Shawarma,Irresistible hot spices made with red chilli and peppers(with pita bread and garlic mayonnaise),90,15%,13.5,103.5,104,0,0,Non Veg,2:30 PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,2,,0,0
ZWARMA,Chat Pata Shawarma,Amix of salty and spicy along with tangy flavor (with pita bread and garlic mayonnaise),90,15%,13.5,103.5,104,0,0,Non Veg,2:30 PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,2,,1,7
ZWARMA,Sweet Chilli Shawarma,"Sweet Chilli is the Combination of Red chilli peppers,rice wine vingar,and sweetening ingredient such as fruit essence(with pita bread and garlic mayonnaise)",90,15%,13.5,103.5,104,0,0,Non Veg,2:30 PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,2,,1,8
ZWARMA,Salsa Shawarma,"Spicy sauce mad with tomatoes ,oions,and hot peppers (with pita bread and garlic mayonnaise)",90,15%,13.5,103.5,104,0,0,Non Veg,2:30 PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,2,,1,9
ZWARMA,Mint Shawarma,Mint flavors including pepper mint and spearmint oils flavors along with seasoned spices(with pita bread and garlic mayonnaise),90,15%,13.5,103.5,104,0,0,Non Veg,2:30 PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,2,,1,10
ZWARMA,Hot Garlic Shawarma,Warm garlic and finely chopped onion witj seasoned whole red peppers (with pita bread and garlic mayonnaise),90,15%,13.5,103.5,104,0,0,Non Veg,2:30 PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Roll,,2,,0,0
